Time(milli)	LAT(deg)	LON(deg)	ALT(m)	Phi(deg)	Theta(deg)	Psi(deg)	Vx(m/s)	Vy(m/s)	Vz(m/s)	P(deg/s)	Q(deg/s)	R(deg/s)	Nx(m/s2)	Ny(m/s2)	Nz(m/s2)	Radial(deg)	Distance(m)	DeltaAlt:Anv-Tgt(m)	JX	JY	Throttle
43201	-23.6877204571209	-45.3756782616464	152.412672834828	-0.264678963398012	0.198411265851698	359.979001242474	232.710114725167	0.0812669605717128	0.774320224847734	-3.19345419280405	0.282912997845534	-0.250664216766419	1.55894282166178	0.0438907909848616	-9.7623948045884	180.539947566199	6799.98117557896	146.011872844557	0.0709228515625	-0.07086181640625	55.5145263671875
43202	-23.6854294934248	-45.3757061713447	157.966765664823	-32.0639164232661	9.42063732464461	354.993508920338	232.332355521259	-2.66307548739181	23.3816181338194	-15.6496585268113	13.7840402278261	-2.87825911318608	4.78337021971116	1.22380534097154	-48.2747447679199	180.585800524879	6546.28833768285	151.565965674552	0.09454345703125	-0.48028564453125	68.1121826171875
43203	-23.6833074380306	-45.3759632780418	191.765406843333	-46.8448361088781	16.2336931496879	344.500755994009	230.313414818669	-0.450740404401313	25.9701740714732	-2.49230141724911	10.8121617494568	-1.34368593626771	5.41683235489598	0.160143899191926	-50.2853333160339	180.845679885592	6311.62213553923	185.364606853063	3.0517578125E-5	-0.52752685546875	68.1121826171875
43204	-23.6812993272037	-45.3765717136274	253.499203070584	-50.1291603457715	22.5600354609353	334.05070282482	227.348435338383	-0.206285663271108	26.5319967746963	-0.100839202067365	11.2417032304703	-1.45454658292776	5.57824103447831	0.0507544798721051	-50.3715158734824	181.460365351737	6090.53393136882	247.098403080313	3.0517578125E-5	-0.50390625	68.1121826171875
43205	-23.6795100504029	-45.3775067847232	338.572929841854	-53.7072898396606	27.3183206185959	324.212577731791	224.201975503831	-0.169500794621937	22.4578870713387	0.237871426009028	7.5394012482836	-1.66764670830045	4.93618509493469	0.027695245590776	-42.2540685784422	182.43615262733	5895.75204874368	332.172129851583	3.0517578125E-5	-0.35430908203125	68.1121826171875
43206	-23.6778689921877	-45.3787625926107	445.358541871956	-52.8911753847204	28.5794572063488	318.822639714441	222.390208579178	-0.419654339464857	10.5984329251691	17.1555497313914	3.97529789650468	-0.558436640134473	3.72898452887019	0.0433868172550353	-23.3054320711049	183.795401719278	5721.26417166684	438.957741881685	-0.1259765625	-0.27557373046875	68.1121826171875
43207	-23.6764107086967	-45.3801643854968	561.28000716821	-17.8603948812998	32.8735690811117	315.445892380005	220.039796208874	-0.647154714948249	10.7115644228117	52.1863618970975	0.143464135228666	3.11282450240339	3.88744786034235	0.0508685331263257	-22.435394835223	185.372831908321	5571.73486458159	554.879207177939	-0.32281494140625	3.0517578125E-5	68.1121826171875
43208	-23.6751534988677	-45.3814757340232	677.97966892235	8.7064301800355	31.5644344925051	315.882769796151	218.24806313658	1.49257037211659	0.216880167800274	0.884950633088459	-1.23036460173535	-1.34695434044135	3.10616525309298	-0.68218273099005	-7.18808633413704	186.910974174203	5447.64449602627	671.578868932079	3.0517578125E-5	3.0517578125E-5	68.1121826171875
43209	-23.6739078579879	-45.3827639813465	793.596445285282	2.37888340698202	31.1727074001237	316.560880321779	216.231744914047	-0.253491845464589	0.372514692012586	-2.62039110849967	0.115346271550288	0.266532767210671	3.13946307713412	0.127664827742917	-7.61420672069732	188.492554110835	5328.57891148908	787.195645295011	3.0517578125E-5	3.0517578125E-5	68.1121826171875
43210	-23.6726676763406	-45.3840403097528	907.397932669376	1.96161721881955	31.2297534461423	316.530829350616	215.558875928739	0.168826839159256	0.936651111081484	-0.407640846690053	-0.0569493328282743	0.178039207605186	7.66626170186372	-0.0635521173475914	-8.17105802887447	190.130834820586	5214.13705012545	900.997132679105	3.0517578125E-5	3.0517578125E-5	93.3074951171875
43211	-23.6713825260861	-45.3853589384687	1024.8573350089	2.02195760873852	31.1287946356986	316.667828714661	219.214594254741	0.0282708163472448	0.79853562645258	0.0940460394429181	-0.0856343531872621	-0.0360060306065013	8.71552634881847	-0.0132064622924172	-8.1419234731259	191.900160649011	5100.16215544742	1018.45653501863	3.0517578125E-5	3.0517578125E-5	98.0316162109375
43212	-23.6701075892652	-45.3866629447	1141.05184945653	1.80053181944152	31.3438282751033	316.768462980845	222.912132232241	0.00247378006802051	1.42872245665066	-1.62904811487935	0.199437439752239	-0.0485728073925202	8.68032578917821	0.0190986860964829	-9.23372308212965	193.728858887078	4992.01399591359	1134.65104946626	0.01580810546875	3.0517578125E-5	98.0316162109375
43213	-23.6687723131027	-45.3880249683939	1263.28475682074	0.0477889534681933	31.4519051993329	316.743364120223	226.620231793933	0.199659831299177	1.27909222795241	-2.99173348583238	0.555977196092231	-0.0668452757174442	8.57138058429886	-0.0573402622090193	-9.23739612984069	195.724562591615	4884.3410147328	1256.88395683047	0.01580810546875	-0.02362060546875	98.0316162109375
